,date,total,total_p,house,house_p,senate,senate_p,dems,dems_p,gop,gop_p,total_r,dems_r,gop_r,house_r,senate_r
198,2015-10-18,10052,1796,6813,1268,3222,528,4293,615,5468,1135,0.1786709112614405,0.143256464011181,0.20757132406730067,0.18611478056656391,0.16387337057728119
199,2015-10-25,10048,1451,6755,934,3279,517,4901,481,4889,927,0.14440684713375795,0.09814323607427056,0.18960932706074862,0.1382679496669134,0.15767002134797195
200,2015-11-01,9117,1482,6028,846,3080,635,4222,490,4651,946,0.1625534715366897,0.11605873993368072,0.20339711889916148,0.14034505640345057,0.20616883116883117
201,2015-11-08,9506,968,6359,607,3140,361,4080,330,5198,619,0.10183042289080581,0.08088235294117647,0.11908426317814544,0.09545526026104734,0.11496815286624204
202,2015-11-15,10232,1446,6992,974,3218,472,4444,507,5492,881,0.1413213448006255,0.11408640864086408,0.16041514930808448,0.13930205949656752,0.14667495338719702
203,2015-11-22,5266,469,3591,311,1668,158,2363,143,2706,298,0.08906190657045196,0.060516292848074485,0.11012564671101256,0.08660540239487607,0.09472422062350119
204,2015-11-29,8925,1297,5939,771,2960,524,4053,414,4605,843,0.1453221288515406,0.10214655810510732,0.18306188925081432,0.1298198349890554,0.17702702702702702
205,2015-12-06,9698,1464,6446,960,3223,502,4425,549,4983,868,0.15095896061043515,0.12406779661016949,0.17419225366245233,0.14892956872479057,0.15575550729134346
206,2015-12-13,7993,1317,5322,875,2659,442,3403,369,4336,889,0.1647691730263981,0.10843373493975904,0.20502767527675278,0.1644118752348741,0.16622790522752914
207,2015-12-20,4258,510,2821,322,1419,188,1728,125,2327,338,0.11977454203851573,0.07233796296296297,0.1452513966480447,0.1141439205955335,0.1324876673713883
208,2015-12-27,3578,403,2330,262,1235,141,1415,87,1955,268,0.1126327557294578,0.06148409893992933,0.1370843989769821,0.11244635193133047,0.11417004048582996
209,2016-01-03,8428,1866,6075,1422,2328,443,3272,529,4834,1241,0.22140484100616992,0.16167481662591687,0.25672321059164255,0.23407407407407407,0.19029209621993126
210,2016-01-10,12546,2328,9138,1723,3399,604,5484,526,6765,1742,0.18555714968914394,0.09591539022611233,0.2575018477457502,0.18855329393740425,0.1776993233303913
211,2016-01-17,8938,1338,5863,832,3054,504,4090,399,4515,885,0.1496979189975386,0.09755501222493887,0.19601328903654486,0.1419068736141907,0.1650294695481336
212,2016-01-24,8458,1039,5393,591,3058,447,3875,329,4281,651,0.12284227949869946,0.08490322580645161,0.15206727400140155,0.10958650101984053,0.1461739699149771
213,2016-01-31,11094,1447,7453,1014,3635,432,5203,572,5532,798,0.13043086352983596,0.10993657505285412,0.1442516268980477,0.13605259626995841,0.1188445667125172
214,2016-02-07,11191,1798,7620,1247,3555,551,4804,487,6038,1250,0.16066481994459833,0.10137385512073273,0.20702219277906592,0.1636482939632546,0.1549929676511955
215,2016-02-14,8626,1141,5600,691,3009,450,3895,388,4378,687,0.13227451889635986,0.09961489088575096,0.15692096847875742,0.12339285714285714,0.14955134596211367
216,2016-02-21,11145,1800,7397,1105,3741,695,4754,655,6097,1072,0.16150740242261102,0.1377787126630206,0.17582417582417584,0.14938488576449913,0.18577920342154505
217,2016-02-28,11344,1483,7665,957,3665,525,5391,663,5611,761,0.13072990126939352,0.1229827490261547,0.1356264480484762,0.124853228962818,0.1432469304229195
218,2016-03-06,10366,1218,6786,701,3571,516,4850,433,5164,716,0.11749951765386842,0.08927835051546391,0.1386522075910147,0.10330091364574123,0.1444973396807617
219,2016-03-13,11849,1914,7936,1180,3903,734,5646,927,5872,916,0.16153261878639547,0.16418703506907545,0.15599455040871935,0.14868951612903225,0.18806046630796822
220,2016-03-20,9665,1240,6733,830,2923,410,4427,434,4890,731,0.12829798241076049,0.09803478653715834,0.14948875255623723,0.12327342937769196,0.14026684912760862
221,2016-03-27,8740,980,5923,609,2809,371,4267,460,4198,467,0.11212814645308924,0.10780407780642137,0.11124344926155312,0.10281951713658619,0.1320754716981132
222,2016-04-03,9152,1153,5856,639,3291,514,4188,496,4669,588,0.12598339160839161,0.11843361986628462,0.12593703148425786,0.1091188524590164,0.15618353084168946
223,2016-04-10,11323,1207,7920,720,3395,487,5703,525,5301,613,0.10659719155700786,0.0920568122041031,0.11563855876249764,0.09090909090909091,0.1434462444771723
224,2016-04-17,11479,1354,8062,917,3406,437,5568,539,5566,770,0.11795452565554491,0.09680316091954023,0.1383399209486166,0.1137434879682461,0.12830299471520845
225,2016-04-24,11044,1224,7717,784,3309,440,5248,548,5526,631,0.11082940963419051,0.10442073170731707,0.11418747737965979,0.10159388363353634,0.13297068600785736
226,2016-05-01,9454,1075,6624,714,2823,361,4456,458,4734,570,0.11370848318172203,0.10278276481149012,0.12040557667934093,0.10778985507246377,0.12787814381863266
227,2016-05-08,10509,1303,7513,849,2985,454,4718,535,5479,726,0.12398896184223047,0.11339550657058076,0.1325059317393685,0.11300412618128577,0.15209380234505862
228,2016-05-15,10939,1643,7524,1109,3406,534,5297,899,5395,697,0.1501965444739007,0.16971870870303946,0.12919369786839666,0.14739500265816055,0.15678214914856137
229,2016-05-22,10558,1602,7395,1107,3155,495,4747,727,5558,827,0.15173328281871568,0.15314935748894037,0.14879453040662108,0.14969574036511157,0.15689381933438987
230,2016-05-29,8394,948,5752,611,2602,333,4118,366,3997,528,0.11293781272337383,0.08887809616318601,0.13209907430572929,0.10622392211404728,0.12797847809377402
231,2016-06-05,10792,1507,7333,1004,3456,503,5123,810,5467,661,0.13964047442550037,0.15811048213937146,0.12090726175233217,0.13691531433246965,0.14554398148148148
232,2016-06-12,12060,1541,8770,1179,3283,361,5998,779,5819,722,0.12777777777777777,0.12987662554184728,0.12407630177006358,0.13443557582668186,0.10996040207127628
233,2016-06-19,14869,2805,11074,2069,3781,736,8330,1586,6263,1158,0.18864752168942095,0.19039615846338537,0.1848954175315344,0.1868340256456565,0.19465749801639778
234,2016-06-26,10427,1674,7203,1057,3213,617,5208,744,4966,873,0.16054473961829865,0.14285714285714285,0.17579540877970198,0.1467444120505345,0.19203236850295674
235,2016-07-03,10882,1730,8257,1286,2622,444,5126,694,5505,987,0.15897812902040065,0.13538821693328132,0.179291553133515,0.15574663921521134,0.16933638443935928
236,2016-07-10,11792,1773,8361,1212,3427,559,5343,871,6226,869,0.1503561736770692,0.1630170316301703,0.13957597173144876,0.14495873699318262,0.16311642836299972
237,2016-07-17,9442,1433,6577,961,2863,472,4653,832,4558,533,0.15176869307350138,0.178809370298732,0.11693725318121984,0.14611525011403376,0.164862032832693
238,2016-07-24,9938,1270,6866,835,3064,435,5481,658,4167,558,0.12779231233648622,0.12005108556832694,0.13390928725701945,0.12161374890766094,0.14197127937336815
